City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
236,anadyr,64.75,177.4833,264.43,66,0,4.0,RU,1682458406
237,ha tien,10.3833,104.4833,301.04,74,100,2.9,VN,1682458406
238,luderitz,-26.6481,15.1594,290.75,79,0,5.48,NA,1682458406
239,andergrove,-21.0833,149.1833,294.06,80,72,8.45,AU,1682458407
240,rio grande,-32.035,-52.0986,297.21,86,100,2.73,BR,1682458166
241,port augusta,-32.5,137.7667,295.23,40,100,4.82,AU,1682458411
242,kavieng,-2.5744,150.7967,301.28,79,98,4.18,PG,1682458411
243,teluk nibung,3.001,99.8164,297.77,93,100,1.8,ID,1682458411
244,sur,22.5667,59.5289,299.8,59,4,3.94,OM,1682458412
245,fonte boa,-2.4959,-66.2662,297.74,94,55,0.76,BR,1682458412
246,palmeira,-25.4294,-50.0064,289.24,80,96,1.16,BR,1682458414
247,malvan,16.0667,73.4667,299.51,77,28,0.45,IN,1682458414
248,manggar,-2.8833,108.2667,299.5,82,99,0.99,ID,1682458414
249,nadym,65.5333,72.5167,267.44,98,98,0.67,RU,1682458266
250,san mariano,7.5,126.0,295.12,90,76,1.45,PH,1682458415
251,palikir - national government center,6.9248,158.1611,300.81,78,43,5.99,FM,1682458254
252,humaita,-7.5061,-63.0208,299.03,84,36,0.85,BR,1682458417
253,namibe,-15.1961,12.1522,296.65,81,56,3.22,AO,1682458417
254,oyama,36.3,139.8,286.74,88,100,2.11,JP,1682458418
255,fakenham,52.83,0.8477,278.08,81,45,0.95,GB,1682458331
256,capitan bermudez,-32.8226,-60.7185,293.68,79,0,2.06,AR,1682458420
257,mejit,10.2753,170.8646,300.32,79,99,8.6,MH,1682458420
258,nuku'alofa,-21.1333,-175.2,300.34,74,40,5.14,TO,1682458224
259,northam,51.0333,-4.2167,280.16,73,100,4.68,GB,1682458420
260,severo-yeniseyskiy,60.3725,93.0408,266.77,97,99,1.83,RU,1682458424
261,noosa heads,-26.3833,153.15,292.78,75,59,8.56,AU,1682458424
262,isla mujeres,21.2311,-86.731,303.24,72,66,6.46,MX,1682458385
263,santa cruz,-17.8,-63.1667,298.85,73,40,2.57,BO,1682458425
264,katsuura,35.1333,140.3,290.93,86,100,8.38,JP,1682458425
265,glarus,47.0406,9.068,276.75,93,56,2.13,CH,1682458427
266,peniche,39.3558,-9.3811,289.98,90,36,3.69,PT,1682458427
267,najaf,31.9985,44.3398,297.03,38,0,0.0,IQ,1682458428
268,mount gambier,-37.8333,140.7667,288.38,68,57,3.75,AU,1682458428
269,yuzhno-kurilsk,44.0306,145.8556,278.01,77,100,8.4,RU,1682458428
270,aasiaat,68.7098,-52.8699,273.44,99,100,2.19,GL,1682458191
271,lake albert,-35.1667,147.3833,285.71,77,55,2.3,AU,1682458429
272,cole harbour,44.6724,-63.4751,281.03,64,75,4.63,CA,1682458430
273,alice springs,-23.7,133.8833,286.9,72,60,3.29,AU,1682458253
274,le port,-20.9373,55.2919,298.15,94,0,0.38,RE,1682458430
275,celestun,20.8667,-90.4,301.9,69,60,4.52,MX,1682458431
276,college,64.8569,-147.8028,274.31,43,20,4.12,US,1682458432
277,inirida,3.8653,-67.9239,297.68,94,98,0.86,CO,1682458433
278,ust'-ilimsk,58.0006,102.6619,271.76,94,100,4.13,RU,1682458434
279,east london,-33.0153,27.9116,293.78,92,99,4.3,ZA,1682458435
280,saint-philippe,-21.3585,55.7679,297.92,84,13,1.28,RE,1682458435
281,barra,-11.0894,-43.1417,299.29,41,0,1.24,BR,1682458436
282,el calafate,-50.3408,-72.2768,280.09,68,6,2.94,AR,1682458209
283,recani,31.2846,-4.2688,302.12,15,38,6.07,MA,1682458437
284,milford haven,51.7128,-5.0341,281.96,74,100,4.77,GB,1682458437
